Component Name,Supplier,Supplier Part Number,Part Number,Quantity,Price (EUR),Expected Delivery Time (Days)
Quantum Core Processor,Celestial Technologies,CT-001,Part-001,10,15.50,7
Flux Capacitor Module,Starship Supplies,SS-002,Part-002,15,21.75,5
Hyperdrive Ignitor,Quantum Nexus,QN-101,Part-101,5,8.20,10
Sonic Resonator,WarpTech Innovations,WI-102,Part-102,8,12.00,7
Fusion Reactor Core,Celestial Technologies,CT-103,Part-103,6,10.75,14
Nano-Enhanced Lenses,Starship Supplies,SS-201,Part-201,12,28.00,5
Gravity-Defying Magnets,Quantum Nexus,QN-202,Part-202,7,17.80,8
Quantum Entanglement Chip,WarpTech Innovations,WI-003,Part-003,9,13.25,6
Electroflux Inducer,Celestial Technologies,CT-104,Part-104,20,35.60,12
Photon Thruster Assembly,Starship Supplies,SS-203,Part-203,18,42.50,6
Chrono-Displacement Unit,Quantum Nexus,QN-004,Part-004,11,18.75,8
Molecular Harmonizer,WarpTech Innovations,WI-105,Part-105,14,26.30,9
Antimatter Energy Cell,Celestial Technologies,CT-204,Part-204,9,20.90,7
Temporal Disruptor Array,Starship Supplies,SS-005,Part-005,25,46.50,11
Plasma Resonance Coil,Quantum Nexus,QN-106,Part-106,6,14.80,5
Quantum Tunneling Generator,Celestial Technologies,CT-205,Part-205,7,16.20,8
Astral Navigation Module,WarpTech Innovations,WI-006,Part-006,15,30.00,9
Graviton Stabilizer,Starship Supplies,SS-107,Part-107,12,22.75,6
Molecular Harmonizer,Quantum Nexus,QN-206,Part-206,11,25.50,10
Biometric Neural Interface,Celestial Technologies,CT-007,Part-007,10,19.90,7
